Food Name,State,Type,Allergic Ingredients,Total Calories,Category
Fruits and Nut Kheer,Uttarakhand,Veg,"Nuts, Dairy",400,Snack
Gahat Ki Dal,Uttarakhand,Veg,None,300,Meal
Kandalee Saag,Uttarakhand,Veg,None,200,Meal
Singori,Uttarakhand,Veg,Dairy,250,Meal
Raita,Uttarakhand,Veg,Dairy,180,Meal
Chawal Ki Roti,Uttarakhand,Veg,None,280,Meal
Phaanu,Uttarakhand,Veg,None,300,Meal
Kumaoni Bhatt,Uttarakhand,Veg,None,320,Meal
Kachma,Uttarakhand,Non-Veg,None,350,Meal
Kumaoni Saag,Uttarakhand,Veg,None,180,Meal
Ghar Ka Achaar,Uttarakhand,Veg,None,100,Meal
Kundru,Uttarakhand,Veg,None,200,Meal
Pindale,Uttarakhand,Veg,None,220,Meal
Pahadi Daal,Uttarakhand,Veg,None,250,Meal
Dum Aloo,Uttarakhand,Veg,None,320,Meal
Kandali Saag,Uttarakhand,Veg,None,190,Meal
Garhwal Keema,Uttarakhand,Non-Veg,None,400,Meal
Jhangora Ki Kheer,Uttarakhand,Veg,Dairy,350,Meal
Aloo Tamatar,Uttarakhand,Veg,None,250,Meal
Chana Madra,Uttarakhand,Veg,None,300,Meal
Raita Pulao,Uttarakhand,Veg,Dairy,350,Meal
Bedu Roti,Uttarakhand,Veg,None,280,Meal
Kumaoni Baadi,Uttarakhand,Veg,None,250,Meal
Garhwal Meat Curry,Uttarakhand,Non-Veg,None,400,Meal
Ragi Porridge,Uttarakhand,Veg,None,200,Meal
Pulao,Uttarakhand,Veg,None,300,Meal
Aloo Ghatta,Uttarakhand,Veg,None,270,Meal
Pahadi Samosa,Uttarakhand,Veg,None,250,Meal
Kumaoni Pulao,Uttarakhand,Veg,None,350,Meal
Chana Chaat,Uttarakhand,Veg,None,200,Meal
Gahat Ki Khichdi,Uttarakhand,Veg,None,300,Meal
Jhangora Pulao,Uttarakhand,Veg,None,320,Meal
Kandali Saag,Uttarakhand,Veg,None,220,Meal
Garhwal Saag,Uttarakhand,Veg,None,200,Meal
Bhatt Ki Dal,Uttarakhand,Veg,None,280,Meal
Aloo Tamatar Curry,Uttarakhand,Veg,None,250,Meal
Methi Thepla,Uttarakhand,Veg,None,300,Meal
Chaaula,Uttarakhand,Veg,None,250,Meal
Pindi Chana,Uttarakhand,Veg,None,300,Meal
Daal Bhat,Uttarakhand,Veg,None,350,Meal
Sooji Halwa,Uttarakhand,Veg,Dairy,400,Meal
Methi Thepla,Uttarakhand,Veg,None,300,Meal
Kumaoni Chutney,Uttarakhand,Veg,None,100,Meal
Jhangora Kheer,Uttarakhand,Veg,Dairy,350,Meal
Pahadi Rajma,Uttarakhand,Veg,None,300,Meal
Bedu Ki Roti,Uttarakhand,Veg,None,280,Meal
Aloo Baingan,Uttarakhand,Veg,None,250,Meal
Kachori,Uttarakhand,Veg,None,300,Meal
Singori,Uttarakhand,Veg,Dairy,200,Meal
Chana Masala,Uttarakhand,Veg,None,300,Meal
Kandali Saag,Uttarakhand,Veg,None,200,Meal
Aloo Keema,Uttar Pradesh,Non-Veg,None,350,Meal
Puri Aloo,Uttar Pradesh,Veg,Gluten,400,Meal
Chole Bhature,Uttar Pradesh,Veg,Gluten,600,Meal
Tandoori Chicken,Uttar Pradesh,Non-Veg,None,400,Meal
Paneer Tikka,Uttar Pradesh,Veg,Dairy,300,Meal
Dal Makhani,Uttar Pradesh,Veg,Dairy,350,Meal
Kachori,Uttar Pradesh,Veg,Gluten,450,Meal
Raita,Uttar Pradesh,Veg,Dairy,150,Meal
Kofta Curry,Uttar Pradesh,Veg,Dairy,400,Meal
Aloo Chaat,Uttar Pradesh,Veg,None,250,Meal
Biryani,Uttar Pradesh,Non-Veg,None,500,Meal
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,Meal
Pulao,Uttar Pradesh,Veg,None,300,Meal
Samosa,Uttar Pradesh,Veg,Gluten,400,Meal
Rogan Josh,Uttar Pradesh,Non-Veg,None,500,Meal
Bhindi Masala,Uttar Pradesh,Veg,None,200,Meal
Palak Paneer,Uttar Pradesh,Veg,Dairy,350,Meal
Aloo Paratha,Uttar Pradesh,Veg,Gluten,400,Breakfast
Kheer,Uttar Pradesh,Veg,Dairy,300,Meal
Jalebi,Uttar Pradesh,Veg,Gluten,350,Meal
Mathri,Uttar Pradesh,Veg,Gluten,450,Meal
Baida Roti,Uttar Pradesh,Non-Veg,Gluten,500,Meal
Petha,Uttar Pradesh,Veg,None,200,Meal
Mutton Korma,Uttar Pradesh,Non-Veg,None,600,Meal
Tikki Chaat,Uttar Pradesh,Veg,Gluten,350,Meal
Chana Masala,Uttar Pradesh,Veg,None,400,Meal
Gulab Jamun,Uttar Pradesh,Veg,Dairy,300,Meal
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,Meal
Chicken Kebab,Uttar Pradesh,Non-Veg,None,400,Meal
Rasam,Uttar Pradesh,Veg,None,150,Meal
Dal Tadka,Uttar Pradesh,Veg,None,300,Meal
Kofta Biryani,Uttar Pradesh,Veg,Dairy,550,Meal
Murg Malai Tikka,Uttar Pradesh,Non-Veg,Dairy,450,Meal
Jeera Rice,Uttar Pradesh,Veg,None,250,Meal
Dahi Bhalla,Uttar Pradesh,Veg,Dairy,350,Meal
Mutton Seekh Kebab,Uttar Pradesh,Non-Veg,None,500,Meal
Chole,Uttar Pradesh,Veg,None,400,Meal
Methi Paratha,Uttar Pradesh,Veg,Gluten,350,Breakfast
Khasta Kachori,Uttar Pradesh,Veg,Gluten,450,Meal
Dum Aloo,Uttar Pradesh,Veg,None,300,Meal
Shahi Paneer,Uttar Pradesh,Veg,Dairy,400,Meal
Samosa Chaat,Uttar Pradesh,Veg,Gluten,400,Meal
Chicken Curry,Uttar Pradesh,Non-Veg,None,500,Meal
Bundi Raita,Uttar Pradesh,Veg,Dairy,200,Meal
Paneer Butter Masala,Uttar Pradesh,Veg,Dairy,450,Meal
Kachori Aloo,Uttar Pradesh,Veg,Gluten,500,Meal
Bhindi Do Pyaza,Uttar Pradesh,Veg,None,200,Meal
Litti Chokha,Uttar Pradesh,Veg,Gluten,450,Meal
Tandoori Paneer,Uttar Pradesh,Veg,Dairy,300,Meal
Mutton Nihari,Uttar Pradesh,Non-Veg,None,600,Meal
Samosa Pav,Uttar Pradesh,Veg,Gluten,500,Meal
Chicken Biryani,Uttar Pradesh,Non-Veg,None,550,Meal
Vegetable Pulao,Uttar Pradesh,Veg,None,350,Meal
Chole Pulao,Uttar Pradesh,Veg,None,400,Meal
Masoor Dal,Uttar Pradesh,Veg,None,300,Meal
Bhindi Fry,Uttar Pradesh,Veg,None,200,Meal
Rawa Kesari,Uttar Pradesh,Veg,None,350,Meal
Vegetable Korma,Uttar Pradesh,Veg,Dairy,400,Meal
Mutton Pulao,Uttar Pradesh,Non-Veg,None,500,Meal
Tandoori Roti,Uttar Pradesh,Veg,Gluten,250,Meal
Paneer Pakora,Uttar Pradesh,Veg,Dairy,350,Meal
Aloo Tamatar,Uttar Pradesh,Veg,None,250,Meal
Chicken Shawarma,Uttar Pradesh,Non-Veg,None,500,Meal
Methi Malai Chicken,Uttar Pradesh,Non-Veg,Dairy,450,Meal
Vegetable Cutlet,Uttar Pradesh,Veg,Gluten,300,Meal
Paneer Korma,Uttar Pradesh,Veg,Dairy,400,Meal
Roti,Uttar Pradesh,Veg,Gluten,150,Meal
Chole Tikki,Uttar Pradesh,Veg,Gluten,350,Meal
Vegetable Biryani,Uttar Pradesh,Veg,None,400,Meal
Palak Chole,Uttar Pradesh,Veg,None,350,Meal
Murg Pulao,Uttar Pradesh,Non-Veg,None,550,Meal
Khichdi,Uttar Pradesh,Veg,None,300,Meal
Kachori Chaat,Uttar Pradesh,Veg,Gluten,450,Meal
Methi Chicken,Uttar Pradesh,Non-Veg,None,400,Meal
Paneer Burji,Uttar Pradesh,Veg,Dairy,350,Meal
Vegetable Curry,Uttar Pradesh,Veg,None,300,Meal
Chicken Saag,Uttar Pradesh,Non-Veg,None,500,Meal
Gatte Ki Sabzi,Uttar Pradesh,Veg,Gluten,400,Meal
Mutton Tikka,Uttar Pradesh,Non-Veg,None,500,Meal
Vegetable Dosa,Uttar Pradesh,Veg,Gluten,350,Breakfast
Bhindi Raita,Uttar Pradesh,Veg,Dairy,200,Meal
Aloo Gobi,Uttar Pradesh,Veg,None,250,Meal
Chicken Pulao,Uttar Pradesh,Non-Veg,None,550,Meal
Vegetable Soup,Uttar Pradesh,Veg,None,150,Meal
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,Meal
Kashmiri Dum Aloo,Uttar Pradesh,Veg,None,400,Meal
Prawn Masala,Uttar Pradesh,Non-Veg,None,500,Meal
Dahi Puri,Uttar Pradesh,Veg,Dairy,250,Meal
Aloo Methi,Uttar Pradesh,Veg,None,250,Meal
Mutton Curry,Uttar Pradesh,Non-Veg,None,600,Meal
Vegetable Idli,Uttar Pradesh,Veg,None,250,Breakfast
Chana Chaat,Uttar Pradesh,Veg,None,300,Meal
Methi Malai Paneer,Uttar Pradesh,Veg,Dairy,400,Meal
Rawa Upma,Uttar Pradesh,Veg,Gluten,300,Breakfast
Chicken Pakora,Uttar Pradesh,Non-Veg,None,400,Meal
Vegetable Biryani,Uttar Pradesh,Veg,None,400,Meal
Kachori,Uttar Pradesh,Veg,Gluten,450,Meal
Mutton Rogan Josh,Uttar Pradesh,Non-Veg,None,600,Meal
Palak Dal,Uttar Pradesh,Veg,None,300,Meal
Paneer Tikka Masala,Uttar Pradesh,Veg,Dairy,400,Meal
Tandoori Naan,Uttar Pradesh,Veg,Gluten,300,Meal
Aloo Palak,Uttar Pradesh,Veg,None,250,Meal
Chicken Tikka Masala,Uttar Pradesh,Non-Veg,Dairy,500,Meal
Vegetable Pakora,Uttar Pradesh,Veg,Gluten,350,Meal
Dal Chawal,Uttar Pradesh,Veg,None,350,Meal
Vegetable Kofta,Uttar Pradesh,Veg,Dairy,400,Meal
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,Meal
Paneer Lababdar,Uttar Pradesh,Veg,Dairy,450,Meal
Mutton Shami Kebab,Uttar Pradesh,Non-Veg,None,500,Meal
Aloo Jeera,Uttar Pradesh,Veg,None,250,Meal
Chicken Vindaloo,Uttar Pradesh,Non-Veg,None,600,Meal
Rajma,Uttar Pradesh,Veg,None,350,Meal
Chicken Korma,Uttar Pradesh,Non-Veg,Dairy,500,Meal
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,Meal
Mutton Biryani,Uttar Pradesh,Non-Veg,None,500,Meal
Chicken Tikka,Uttar Pradesh,Non-Veg,None,400,Meal
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,Meal
Vegetable Jalfrezi,Uttar Pradesh,Veg,None,300,Meal
Dal Tadka,Uttar Pradesh,Veg,None,350,Meal
Aloo Baingan,Uttar Pradesh,Veg,None,300,Meal
Rajma Chawal,Uttar Pradesh,Veg,None,350,Meal
Chicken Curry,Uttar Pradesh,Non-Veg,None,600,Meal
Chicken Seekh Kebab,Uttar Pradesh,Non-Veg,None,400,Meal
Mutton Tikka Masala,Uttar Pradesh,Non-Veg,None,500,Meal
Mui Borok,Tripura,Non-Veg,None,200,Meal
Kachri,Tripura,Veg,None,150,Meal
Bamboo Shoot Curry,Tripura,Veg,None,180,Meal
Mangsor Ruti,Tripura,Non-Veg,None,220,Meal
Aloo-Kumura,Tripura,Veg,None,170,Meal
Chak-So,Tripura,Non-Veg,None,240,Meal
Mithing,Tripura,Veg,Nuts,200,Meal
Kharang,Tripura,Non-Veg,None,260,Meal
Gahat Dal,Tripura,Veg,None,190,Meal
Hawaitho,Tripura,Non-Veg,None,230,Meal
Tarela,Tripura,Veg,None,180,Meal
Kumura Ruti,Tripura,Veg,None,200,Meal
Ting Gaar,Tripura,Non-Veg,None,210,Meal
Panch Phoran Aloo,Tripura,Veg,None,190,Meal
Lungba,Tripura,Non-Veg,None,250,Meal
Bamboo Shoot Pickle,Tripura,Veg,None,180,Meal
Wang Roti,Tripura,Veg,None,210,Meal
Bhapa Ilish,Tripura,Non-Veg,None,240,Meal
Gagri,Tripura,Non-Veg,None,220,Meal
Mula Roti,Tripura,Veg,None,200,Meal
Ilish Bhaja,Tripura,Non-Veg,None,230,Meal
Chingri Masala,Tripura,Non-Veg,None,260,Meal
Aloo Kachri,Tripura,Veg,None,190,Meal
Kumura Bhaji,Tripura,Veg,None,170,Meal
Kharam,Tripura,Non-Veg,None,250,Meal
Kachri Bharta,Tripura,Veg,None,180,Meal
Bhapa Mango,Tripura,Veg,None,160,Meal
Pora,Tripura,Veg,None,180,Meal
Tamuli,Tripura,Veg,None,200,Meal
Poro,Tripura,Veg,None,190,Meal
Moga,Tripura,Non-Veg,None,220,Meal
Kuchara,Tripura,Non-Veg,None,240,Meal
Gagri Curry,Tripura,Non-Veg,None,230,Meal
Fing Roti,Tripura,Veg,None,190,Meal
Chamcham,Tripura,Veg,Dairy,210,Meal
Chokha,Tripura,Veg,None,200,Meal
Pani Puri,Tripura,Veg,Gluten,210,Meal
Thukpa,Tripura,Veg,None,220,Meal
Moukok,Tripura,Non-Veg,None,240,Meal
Dheki,Tripura,Veg,None,180,Meal
Bamboo Shoot Soup,Tripura,Veg,None,170,Meal
Bara,Tripura,Veg,None,190,Meal
Hawaitho Bharta,Tripura,Non-Veg,None,230,Meal
Aloo Curry,Tripura,Veg,None,200,Meal
Mitha Bhaja,Tripura,Veg,None,170,Meal
Ruti,Tripura,Veg,None,190,Meal
Kharan Roti,Tripura,Veg,None,200,Meal
Mula Bharta,Tripura,Veg,None,180,Meal
Tarela Bharta,Tripura,Veg,None,190,Meal
Masa Curry,Tripura,Non-Veg,None,250,Meal
Kachri Bhaji,Tripura,Veg,None,170,Meal
Bamboo Shoot Salad,Tripura,Veg,None,150,Snack
Lungi,Tripura,Veg,None,180,Meal
Gakhri,Tripura,Non-Veg,None,230,Meal
Fried Ilish,Tripura,Non-Veg,None,240,Meal
Mithi Kachri,Tripura,Veg,Nuts,200,Meal
Bamboo Shoot Rice,Tripura,Veg,None,200,Meal
Panch Phoran Bharta,Tripura,Veg,None,190,Meal
Pora Bhaji,Tripura,Veg,None,180,Meal
Dheki Bharta,Tripura,Veg,None,200,Meal
Thukpa Curry,Tripura,Veg,None,220,Meal
Moukok Bharta,Tripura,Non-Veg,None,250,Meal
Kharam Bhaji,Tripura,Non-Veg,None,230,Meal
Aloo Bharta,Tripura,Veg,None,180,Meal
Bamboo Shoot Pulao,Tripura,Veg,None,210,Meal
Kachri Masala,Tripura,Veg,None,190,Meal
Ting Gaar Bharta,Tripura,Non-Veg,None,230,Meal
Fried Bamboo Shoot,Tripura,Veg,None,200,Meal
Aloo Gachri,Tripura,Veg,None,170,Meal
Bamboo Shoot Fry,Tripura,Veg,None,180,Meal
Mangsor Bharta,Tripura,Non-Veg,None,220,Meal
Kachri Curry,Tripura,Veg,None,190,Meal
Pachra,Tripura,Veg,None,200,Meal
Ilish Curry,Tripura,Non-Veg,None,240,Meal
Chingri Bharta,Tripura,Non-Veg,None,250,Meal
Mithing Bharta,Tripura,Veg,Nuts,200,Meal
Pora Curry,Tripura,Veg,None,190,Meal
Mithing Masala,Tripura,Veg,Nuts,210,Meal
Bhapa Kachri,Tripura,Veg,None,200,Meal
Pachra Bhaji,Tripura,Veg,None,180,Meal
Gahat Bharta,Tripura,Veg,None,190,Meal
Chakso Bharta,Tripura,Non-Veg,None,240,Meal
Gahar Roti,Tripura,Veg,None,210,Meal
Pora Bharta,Tripura,Veg,None,200,Meal
Tarela Curry,Tripura,Veg,None,190,Meal
Mithi Bhaji,Tripura,Veg,Nuts,210,Meal
Chingri Curry,Tripura,Non-Veg,None,240,Meal
Gagri Bhaji,Tripura,Non-Veg,None,220,Meal
Mitha Pulao,Tripura,Veg,Nuts,190,Meal
Bhapa Fish,Tripura,Non-Veg,None,230,Meal
Moukok Masala,Tripura,Non-Veg,None,240,Meal
Bamboo Shoot Stir Fry,Tripura,Veg,None,200,Meal
Kachri Pulao,Tripura,Veg,None,210,Meal
Pora Masala,Tripura,Veg,None,180,Meal
Gahat Curry,Tripura,Veg,None,190,Meal
Kharan Bharta,Tripura,Non-Veg,None,220,Meal
Ilish Bharta,Tripura,Non-Veg,None,240,Meal
Pani Puri Bhaji,Tripura,Veg,Gluten,210,Meal
Chakso Curry,Tripura,Non-Veg,None,250,Meal
Mitha Curry,Tripura,Veg,Nuts,190,Meal
Tarela Bhaji,Tripura,Veg,None,180,Meal
Bamboo Shoot Khichdi,Tripura,Veg,None,210,Meal
Fried Mitha,Tripura,Veg,Nuts,200,Meal
Bhapa Kachri Curry,Tripura,Veg,None,190,Meal
Moukok Roti,Tripura,Non-Veg,None,220,Meal
Mithi Bharta,Tripura,Veg,Nuts,210,Meal
Kachri Soup,Tripura,Veg,None,180,Meal
Aloo Bhaji,Tripura,Veg,None,200,Meal
Bamboo Shoot Stir-Fry,Tripura,Veg,None,190,Meal
Fried Ilish Curry,Tripura,Non-Veg,None,230,Meal
Pora Bhaji,Tripura,Veg,None,190,Meal
Chamcham Bhaji,Tripura,Veg,Dairy,200,Meal
Kachri Salad,Tripura,Veg,None,180,Snack
Ilish Masala,Tripura,Non-Veg,None,250,Meal
Gagri Curry,Tripura,Non-Veg,None,240,Meal
Moukok Soup,Tripura,Non-Veg,None,230,Meal
Pachra Bharta,Tripura,Veg,None,180,Meal
Kachri Roti,Tripura,Veg,None,200,Meal
Mitha Roti,Tripura,Veg,Nuts,190,Meal
Bhapa Bamboo Shoot,Tripura,Veg,None,180,Meal
Fried Mitha Roti,Tripura,Veg,Nuts,200,Meal
Moukok Bhaji,Tripura,Non-Veg,None,230,Meal
Bamboo Shoot Pulao,Tripura,Veg,None,210,Meal
Gahat Masala,Tripura,Veg,None,190,Meal
Kachri Bhaji,Tripura,Veg,None,180,Meal
Mitha Bharta,Tripura,Veg,Nuts,200,Meal
Pachra Curry,Tripura,Veg,None,180,Meal
Kachri Masala,Tripura,Veg,None,190,Meal
Chamcham Curry,Tripura,Veg,Dairy,210,Meal
Moukok Roti,Tripura,Non-Veg,None,230,Meal
Gagri Roti,Tripura,Non-Veg,None,220,Meal
Kachri Bharta,Tripura,Veg,None,200,Meal
Pora Roti,Tripura,Veg,None,190,Meal
Mitha Roti,Tripura,Veg,Nuts,200,Meal
Kachri Soup,Tripura,Veg,None,180,Meal
Gahat Roti,Tripura,Veg,None,190,Meal
Moukok Bhaji,Tripura,Non-Veg,None,240,Meal
Kachri Bhaji,Tripura,Veg,None,190,Meal
Mitha Bhaji,Tripura,Veg,Nuts,200,Meal
Fried Bamboo Shoot,Tripura,Veg,None,200,Meal
Bhapa Bhaji,Tripura,Veg,None,190,Meal
Chamcham Bhaji,Tripura,Veg,Dairy,200,Meal
Kachri Pulao,Tripura,Veg,None,210,Meal
Gahat Bhaji,Tripura,Veg,None,180,Meal
Fish Curry,Andaman,Non-Veg,Seafood,300,Meal
Chicken Korma,Andaman,Non-Veg,Dairy,350,Meal
Vegetable Pulao,Andaman,Veg,None,250,Meal
Tandoori Lobster,Andaman,Non-Veg,Seafood,400,Meal
Prawn Masala,Andaman,Non-Veg,Seafood,320,Meal
Coconut Rice,Andaman,Veg,None,270,Meal
Mutton Rogan Josh,Andaman,Non-Veg,Dairy,450,Meal
Tamarind Fish,Andaman,Non-Veg,Seafood,290,Meal
Spicy Vegetable Soup,Andaman,Veg,None,150,Meal
Fish Fry,Andaman,Non-Veg,Seafood,330,Meal
Grilled Chicken,Andaman,Non-Veg,None,280,Meal
Seafood Paella,Andaman,Non-Veg,Seafood,400,Meal
Vegetable Stir Fry,Andaman,Veg,None,200,Meal
Prawn Curry,Andaman,Non-Veg,Seafood,320,Meal
Chili Crab,Andaman,Non-Veg,Seafood,360,Meal
Mango Salad,Andaman,Veg,None,180,Snack
Banana Pancakes,Andaman,Veg,Dairy,350,Breakfast
Beef Vindaloo,Andaman,Non-Veg,None,400,Meal
Vegetable Korma,Andaman,Veg,Dairy,330,Meal
Fish Tikka,Andaman,Non-Veg,Seafood,300,Meal
Shrimp Scampi,Andaman,Non-Veg,Seafood,320,Meal
Coconut Milk Curry,Andaman,Non-Veg,"Seafood, Dairy",340,Meal
Papaya Salad,Andaman,Veg,None,160,Snack
Pineapple Rice,Andaman,Veg,None,290,Meal
Chicken Biryani,Andaman,Non-Veg,None,400,Meal
Vegetable Samosas,Andaman,Veg,None,250,Meal
Mutton Kebab,Andaman,Non-Veg,None,330,Meal
Prawn Tempura,Andaman,Non-Veg,Seafood,310,Meal
Curried Squid,Andaman,Non-Veg,Seafood,340,Meal
Jackfruit Curry,Andaman,Veg,None,280,Snack
Roasted Lobster,Andaman,Non-Veg,Seafood,360,Meal
Vegetable Stew,Andaman,Veg,None,220,Meal
Chicken Skewers,Andaman,Non-Veg,None,270,Meal
Lamb Shank,Andaman,Non-Veg,None,450,Meal
Seafood Chowder,Andaman,Non-Veg,"Seafood, Dairy",350,Meal
Coconut Chutney,Andaman,Veg,None,100,Meal
Sweet Potato Fries,Andaman,Veg,None,250,Meal
Fish Molee,Andaman,Non-Veg,Seafood,320,Meal
Lobster Bisque,Andaman,Non-Veg,"Seafood, Dairy",330,Meal
Tamarind Rice,Andaman,Veg,None,280,Meal
Vegetable Cutlet,Andaman,Veg,None,200,Meal
Spicy Crab Cakes,Andaman,Non-Veg,Seafood,340,Meal
Mango Chutney,Andaman,Veg,None,150,Meal
Grilled Prawns,Andaman,Non-Veg,Seafood,290,Meal
Chicken Satay,Andaman,Non-Veg,None,300,Meal
Vegetable Pakoras,Andaman,Veg,None,280,Meal
Goat Curry,Andaman,Non-Veg,None,370,Meal
Seafood Salad,Andaman,Non-Veg,Seafood,260,Snack
Spicy Lobster,Andaman,Non-Veg,Seafood,350,Meal
Coconut Chicken,Andaman,Non-Veg,Dairy,340,Meal
Prawn Biryani,Andaman,Non-Veg,Seafood,410,Meal
Vegetable Raita,Andaman,Veg,Dairy,140,Meal
Mutton Pulao,Andaman,Non-Veg,None,350,Meal
Tandoori Prawns,Andaman,Non-Veg,Seafood,320,Meal
Chana Masala,Andaman,Veg,None,280,Meal
Fish Tikka Masala,Andaman,Non-Veg,Seafood,350,Meal
Grilled Mutton,Andaman,Non-Veg,None,330,Meal
Vegetable Sambar,Andaman,Veg,None,220,Meal
Prawn Soup,Andaman,Non-Veg,Seafood,250,Meal
Fish Kababs,Andaman,Non-Veg,Seafood,290,Meal
Vegetable Biryani,Andaman,Veg,None,270,Meal
Spicy Mutton Curry,Andaman,Non-Veg,None,370,Meal
Fried Squid,Andaman,Non-Veg,Seafood,320,Meal
Coconut Fish,Andaman,Non-Veg,Seafood,290,Meal
Grilled Octopus,Andaman,Non-Veg,Seafood,340,Meal
Vegetable Khichdi,Andaman,Veg,None,250,Meal
Mutton Shish Kebab,Andaman,Non-Veg,None,330,Meal
Lobster Curry,Andaman,Non-Veg,Seafood,370,Meal
Spicy Chicken Wings,Andaman,Non-Veg,None,310,Meal
Vegetable Pita,Andaman,Veg,None,220,Meal
Seafood Risotto,Andaman,Non-Veg,Seafood,350,Meal
Chicken Shawarma,Andaman,Non-Veg,None,320,Meal
Prawn Tempura Sushi,Andaman,Non-Veg,Seafood,340,Meal
Vegetable Dosa,Andaman,Veg,None,250,Breakfast
Mutton Seekh Kebab,Andaman,Non-Veg,None,320,Meal
Spicy Fish Stew,Andaman,Non-Veg,Seafood,300,Meal
Vegetable Quinoa Salad,Andaman,Veg,None,220,Snack
Seafood Risotto,Andaman,Non-Veg,Seafood,350,Meal
Chili Lobster,Andaman,Non-Veg,Seafood,360,Meal
Vegetable Roll,Andaman,Veg,None,200,Meal
Coconut Prawns,Andaman,Non-Veg,Seafood,330,Meal
Chicken Masala,Andaman,Non-Veg,None,360,Meal
Mutton Stew,Andaman,Non-Veg,None,380,Meal
Vegetable Fritters,Andaman,Veg,None,270,Meal
Lobster Salad,Andaman,Non-Veg,Seafood,290,Snack
Prawn Skewers,Andaman,Non-Veg,Seafood,320,Meal
Mutton Curry,Andaman,Non-Veg,None,350,Meal
Spicy Fish Cake,Andaman,Non-Veg,Seafood,320,Meal
Vegetable Pancakes,Andaman,Veg,None,250,Breakfast
Grilled Mahi Mahi,Andaman,Non-Veg,Seafood,340,Meal
Prawn Curry Rice,Andaman,Non-Veg,Seafood,370,Meal
Vegetable Chowder,Andaman,Veg,None,200,Meal
Chicken Biriyani,Andaman,Non-Veg,None,400,Meal
